id,book_name,author,publication_year,price,is_available
172,The Iliad,Homer,1974-08-23,1124,TRUE
173,A Tale of Two Cities,Charles Dickens,1958-05-27,987,TRUE
174,A Tale of Two Cities,Charles Dickens,1968-04-05,1263,TRUE
175,Moby-Dick,Herman Melville,1939-06-02,1292,TRUE
176,The Iliad,Homer,1928-05-05,942,TRUE
177,War and Peace,Leo Tolstoy,1881-06-10,1869,TRUE
178,The Count of Monte Cristo,Alexandre Dumas,1866-10-10,509,TRUE
179,Wuthering Heights,Emily Brontë,1888-03-24,345,TRUE
180,Moby-Dick,Herman Melville,1946-11-29,1407,TRUE
181,Anna Karenina,Leo Tolstoy,1899-12-23,355,FALSE
182,A Tale of Two Cities,Charles Dickens,1901-03-23,1087,TRUE
183,Don Quixote,Miguel de Cervantes,1959-02-12,1990,FALSE
184,Jane Eyre,Charlotte Brontë,1905-11-02,1042,FALSE
185,Crime and Punishment,Fyodor Dostoevsky,1859-07-22,591,TRUE
186,The Iliad,Homer,1969-09-16,1262,TRUE
187,Jane Eyre,Charlotte Brontë,1968-10-18,1078,FALSE
188,Jane Eyre,Charlotte Brontë,1933-02-24,1652,TRUE
189,The Brothers Karamazov,Fyodor Dostoevsky,1951-06-09,371,FALSE
190,The Count of Monte Cristo,Alexandre Dumas,1905-05-04,982,FALSE
191,Pride and Prejudice,Jane Austen,2006-12-12,1883,FALSE
192,A Tale of Two Cities,Charles Dickens,1931-12-13,280,FALSE
193,The Iliad,Homer,1893-05-25,285,FALSE
194,War and Peace,Leo Tolstoy,1850-07-17,364,FALSE
195,Les Misérables,Victor Hugo,1960-06-15,349,FALSE
196,The Odyssey,Homer,1914-11-21,757,TRUE
197,The Iliad,Homer,1876-12-05,300,TRUE
198,The Picture of Dorian Gray,Oscar Wilde,1938-12-07,258,TRUE
199,The Odyssey,Homer,1904-12-07,284,TRUE
200,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1950-01-26,884,TRUE
201,Anna Karenina,Leo Tolstoy,1953-08-06,1239,FALSE
202,Anna Karenina,Leo Tolstoy,1980-01-18,1371,FALSE
203,The Iliad,Homer,1971-07-12,556,TRUE
204,The Count of Monte Cristo,Alexandre Dumas,1898-06-24,1287,FALSE
205,Anna Karenina,Leo Tolstoy,2002-12-05,840,TRUE
206,Frankenstein,Mary Shelley,1892-03-03,1990,TRUE
207,Pride and Prejudice,Jane Austen,1920-11-21,718,FALSE
208,Dracula,Bram Stoker,1894-01-10,1894,FALSE
209,The Iliad,Homer,1901-05-13,1525,FALSE
210,Don Quixote,Miguel de Cervantes,1930-03-02,1525,TRUE
211,Wuthering Heights,Emily Brontë,1916-11-03,263,TRUE
212,A Tale of Two Cities,Charles Dickens,1918-08-02,1482,FALSE
213,Dracula,Bram Stoker,1890-12-25,723,FALSE
214,Sense and Sensibility,Jane Austen,1862-09-20,1225,TRUE
215,Wuthering Heights,Emily Brontë,1858-11-30,1144,FALSE
216,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1908-02-04,1749,TRUE
217,Anna Karenina,Leo Tolstoy,1981-10-09,1049,FALSE
218,Sense and Sensibility,Jane Austen,1959-03-18,1291,TRUE
219,The Iliad,Homer,1979-11-15,919,FALSE
220,Great Expectations,Charles Dickens,1965-06-18,1844,TRUE
221,Crime and Punishment,Fyodor Dostoevsky,1861-08-01,1755,TRUE
222,The Brothers Karamazov,Fyodor Dostoevsky,1971-07-08,1859,TRUE
223,Moby-Dick,Herman Melville,1972-04-30,1505,TRUE
224,Anna Karenina,Leo Tolstoy,1974-10-28,1655,FALSE
225,The Iliad,Homer,1949-02-07,1726,TRUE
226,A Tale of Two Cities,Charles Dickens,1994-11-19,665,TRUE
227,The Brothers Karamazov,Fyodor Dostoevsky,1995-04-20,574,TRUE
228,The Odyssey,Homer,1865-05-09,479,FALSE
229,Great Expectations,Charles Dickens,1978-03-31,1295,FALSE
230,Les Misérables,Victor Hugo,2013-12-02,304,TRUE
231,Les Misérables,Victor Hugo,2013-11-30,1070,FALSE
232,War and Peace,Leo Tolstoy,1899-02-02,1903,FALSE
233,The Odyssey,Homer,1988-07-18,1987,FALSE
234,Pride and Prejudice,Jane Austen,1991-08-17,1830,TRUE
235,Pride and Prejudice,Jane Austen,2013-11-06,1626,FALSE
236,Jane Eyre,Charlotte Brontë,1976-06-22,332,FALSE
237,Sense and Sensibility,Jane Austen,2013-11-27,1500,FALSE
238,Don Quixote,Miguel de Cervantes,1851-08-08,789,FALSE
239,Don Quixote,Miguel de Cervantes,1992-11-04,1293,TRUE
240,Anna Karenina,Leo Tolstoy,1853-02-08,1766,FALSE
241,Wuthering Heights,Emily Brontë,1999-04-13,1761,TRUE
242,Les Misérables,Victor Hugo,1898-09-22,1906,FALSE
243,Great Expectations,Charles Dickens,1929-07-21,1009,TRUE
244,Jane Eyre,Charlotte Brontë,1966-12-04,1316,TRUE
245,Sense and Sensibility,Jane Austen,1948-08-26,397,TRUE
246,Don Quixote,Miguel de Cervantes,2017-10-26,1976,FALSE
247,Jane Eyre,Charlotte Brontë,1897-03-08,1679,FALSE
248,Moby-Dick,Herman Melville,1980-06-08,1015,TRUE
249,The Count of Monte Cristo,Alexandre Dumas,1913-05-09,1098,FALSE
250,Great Expectations,Charles Dickens,1889-05-20,573,FALSE
251,Jane Eyre,Charlotte Brontë,1916-08-10,1411,FALSE
252,Great Expectations,Charles Dickens,1952-08-30,949,FALSE
253,Great Expectations,Charles Dickens,1916-07-20,1734,FALSE
254,Moby-Dick,Herman Melville,2008-09-03,1755,FALSE
255,Les Misérables,Victor Hugo,1946-11-24,1177,FALSE
256,Don Quixote,Miguel de Cervantes,1892-11-30,869,FALSE
257,The Brothers Karamazov,Fyodor Dostoevsky,1912-02-03,801,TRUE
258,Great Expectations,Charles Dickens,1935-11-10,345,TRUE
259,Wuthering Heights,Emily Brontë,1941-11-23,595,TRUE
260,Jane Eyre,Charlotte Brontë,1922-04-18,1848,FALSE
261,Jane Eyre,Charlotte Brontë,1983-09-01,341,FALSE
262,Jane Eyre,Charlotte Brontë,1858-02-19,695,FALSE
263,War and Peace,Leo Tolstoy,1886-12-05,1407,TRUE
264,Crime and Punishment,Fyodor Dostoevsky,1880-08-09,696,TRUE
265,Frankenstein,Mary Shelley,1881-01-20,1525,FALSE
266,Anna Karenina,Leo Tolstoy,1921-07-09,1173,TRUE
267,War and Peace,Leo Tolstoy,1929-02-08,1297,FALSE
268,Jane Eyre,Charlotte Brontë,1960-08-07,1041,FALSE
269,Jane Eyre,Charlotte Brontë,1883-12-25,1394,FALSE
270,Don Quixote,Miguel de Cervantes,1931-09-03,781,TRUE
271,The Iliad,Homer,1987-04-07,929,TRUE
272,Wuthering Heights,Emily Brontë,2002-11-27,439,FALSE
273,The Iliad,Homer,1890-02-23,267,TRUE
274,The Brothers Karamazov,Fyodor Dostoevsky,2005-06-19,1632,TRUE
275,Sense and Sensibility,Jane Austen,1951-11-05,766,TRUE
276,The Odyssey,Homer,1926-05-02,1950,TRUE
277,War and Peace,Leo Tolstoy,1897-05-03,1671,TRUE
278,Dracula,Bram Stoker,1981-07-18,235,FALSE
279,Jane Eyre,Charlotte Brontë,1867-09-02,1876,FALSE
280,The Picture of Dorian Gray,Oscar Wilde,1927-03-18,1422,TRUE
281,Moby-Dick,Herman Melville,1893-07-08,1360,FALSE
282,Wuthering Heights,Emily Brontë,1938-11-22,1041,TRUE
283,The Picture of Dorian Gray,Oscar Wilde,1943-10-24,805,TRUE
284,Great Expectations,Charles Dickens,1902-10-22,1162,FALSE
285,The Count of Monte Cristo,Alexandre Dumas,1972-04-10,327,FALSE
286,Les Misérables,Victor Hugo,1979-04-07,1474,TRUE
287,Anna Karenina,Leo Tolstoy,1913-08-14,242,FALSE
288,Anna Karenina,Leo Tolstoy,2002-08-04,937,FALSE
289,Pride and Prejudice,Jane Austen,1882-08-25,1508,FALSE
290,Wuthering Heights,Emily Brontë,1947-08-06,995,FALSE
291,The Iliad,Homer,1879-11-02,1050,FALSE
292,Moby-Dick,Herman Melville,1970-07-22,1284,TRUE
293,Anna Karenina,Leo Tolstoy,1880-03-18,1942,TRUE
294,Wuthering Heights,Emily Brontë,1902-01-01,1139,TRUE
295,A Tale of Two Cities,Charles Dickens,1951-01-03,1507,FALSE
296,Dracula,Bram Stoker,1909-08-05,255,FALSE
297,Jane Eyre,Charlotte Brontë,1927-06-12,371,FALSE
298,Les Misérables,Victor Hugo,1868-05-11,836,FALSE
299,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1951-10-26,592,TRUE
300,Don Quixote,Miguel de Cervantes,1896-03-07,1809,TRUE
301,Pride and Prejudice,Jane Austen,1960-11-12,292,TRUE
302,The Odyssey,Homer,1886-07-03,1230,TRUE
303,Pride and Prejudice,Jane Austen,1971-04-09,890,FALSE
304,The Count of Monte Cristo,Alexandre Dumas,2008-03-11,1587,FALSE
305,Les Misérables,Victor Hugo,1915-09-27,265,FALSE
306,Pride and Prejudice,Jane Austen,2007-11-06,1222,TRUE
307,Frankenstein,Mary Shelley,1934-12-09,844,TRUE
308,Dracula,Bram Stoker,1906-05-07,1794,FALSE
309,Frankenstein,Mary Shelley,2017-02-11,475,FALSE
310,Dracula,Bram Stoker,2005-09-12,1913,FALSE
311,The Odyssey,Homer,1965-06-30,1990,TRUE
312,Pride and Prejudice,Jane Austen,1999-05-15,558,FALSE
313,A Tale of Two Cities,Charles Dickens,1880-04-17,1127,FALSE
314,Jane Eyre,Charlotte Brontë,2012-11-18,979,FALSE
315,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1929-07-16,783,FALSE
316,Dracula,Bram Stoker,1852-03-22,607,TRUE
317,Dracula,Bram Stoker,1984-07-14,1064,FALSE
318,The Picture of Dorian Gray,Oscar Wilde,1885-11-29,211,TRUE
319,Jane Eyre,Charlotte Brontë,1899-10-28,223,FALSE
320,Crime and Punishment,Fyodor Dostoevsky,1909-02-13,1392,TRUE
321,War and Peace,Leo Tolstoy,1872-03-13,957,TRUE
322,Les Misérables,Victor Hugo,1886-06-14,1834,TRUE
323,Moby-Dick,Herman Melville,1887-08-14,1141,TRUE
324,A Tale of Two Cities,Charles Dickens,1915-07-29,727,FALSE
325,Crime and Punishment,Fyodor Dostoevsky,1976-03-05,1032,TRUE
326,Sense and Sensibility,Jane Austen,1984-12-06,205,FALSE
327,Wuthering Heights,Emily Brontë,1940-02-05,776,TRUE
328,A Tale of Two Cities,Charles Dickens,1974-11-08,1651,FALSE
329,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1857-09-11,1093,TRUE
330,The Iliad,Homer,2008-09-09,1255,TRUE
331,Frankenstein,Mary Shelley,1986-11-05,1961,TRUE
332,A Tale of Two Cities,Charles Dickens,1954-09-16,768,FALSE
333,Sense and Sensibility,Jane Austen,2003-11-04,1195,TRUE
334,Les Misérables,Victor Hugo,1853-08-25,1958,FALSE
335,The Count of Monte Cristo,Alexandre Dumas,1935-12-08,1051,TRUE
336,Dracula,Bram Stoker,1900-11-06,1139,TRUE
337,War and Peace,Leo Tolstoy,1861-07-01,1563,TRUE
338,The Iliad,Homer,1904-02-19,1897,TRUE
339,Crime and Punishment,Fyodor Dostoevsky,1916-02-17,208,FALSE
340,The Brothers Karamazov,Fyodor Dostoevsky,1947-03-16,252,TRUE
341,Don Quixote,Miguel de Cervantes,1990-02-02,399,TRUE
342,The Count of Monte Cristo,Alexandre Dumas,1903-05-19,517,TRUE
343,Jane Eyre,Charlotte Brontë,1869-11-22,1250,FALSE
344,The Picture of Dorian Gray,Oscar Wilde,1911-07-13,1042,TRUE
345,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1957-03-08,1535,FALSE
346,The Brothers Karamazov,Fyodor Dostoevsky,1887-12-12,1930,FALSE
347,Dracula,Bram Stoker,1929-02-28,1394,TRUE
348,The Brothers Karamazov,Fyodor Dostoevsky,1882-12-27,1553,FALSE
349,War and Peace,Leo Tolstoy,1874-11-27,1076,TRUE
350,Pride and Prejudice,Jane Austen,1902-04-10,1227,FALSE
351,A Tale of Two Cities,Charles Dickens,1909-10-06,1983,TRUE
352,The Odyssey,Homer,1885-02-22,1821,TRUE
353,The Brothers Karamazov,Fyodor Dostoevsky,1855-08-24,1443,FALSE
354,Moby-Dick,Herman Melville,1879-02-05,523,TRUE
355,Wuthering Heights,Emily Brontë,2012-08-07,481,TRUE
356,Jane Eyre,Charlotte Brontë,2015-11-06,312,FALSE
357,Dracula,Bram Stoker,1975-04-28,1671,TRUE
358,Don Quixote,Miguel de Cervantes,1921-09-15,1257,TRUE
359,The Count of Monte Cristo,Alexandre Dumas,1935-01-31,709,FALSE
360,The Brothers Karamazov,Fyodor Dostoevsky,1956-08-17,1405,FALSE
361,Don Quixote,Miguel de Cervantes,1903-12-22,1059,TRUE
362,The Count of Monte Cristo,Alexandre Dumas,1886-04-11,724,FALSE
363,Pride and Prejudice,Jane Austen,1893-10-23,879,TRUE
364,A Tale of Two Cities,Charles Dickens,1958-05-05,1539,TRUE
365,Frankenstein,Mary Shelley,2002-12-20,1050,FALSE
366,A Tale of Two Cities,Charles Dickens,1858-10-30,858,FALSE
367,The Count of Monte Cristo,Alexandre Dumas,1985-10-24,1129,TRUE
368,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1911-08-22,822,FALSE
369,Moby-Dick,Herman Melville,1959-10-11,841,TRUE
370,Great Expectations,Charles Dickens,1961-03-12,1855,FALSE
371,Pride and Prejudice,Jane Austen,1931-12-06,1658,FALSE
372,Crime and Punishment,Fyodor Dostoevsky,1969-10-10,1841,TRUE
373,Wuthering Heights,Emily Brontë,1961-09-25,351,TRUE
374,The Iliad,Homer,1957-02-17,1166,TRUE
375,Dracula,Bram Stoker,1917-05-24,630,FALSE
376,Moby-Dick,Herman Melville,1954-04-05,1315,TRUE
377,Pride and Prejudice,Jane Austen,1854-09-07,687,TRUE
378,A Tale of Two Cities,Charles Dickens,1858-01-21,444,FALSE
379,Moby-Dick,Herman Melville,1882-09-18,575,TRUE
380,Anna Karenina,Leo Tolstoy,2005-10-21,1786,TRUE
381,Anna Karenina,Leo Tolstoy,1957-06-04,1444,TRUE
382,A Tale of Two Cities,Charles Dickens,1968-08-29,1837,FALSE
383,Les Misérables,Victor Hugo,1952-04-16,530,TRUE
384,The Odyssey,Homer,1982-12-10,292,FALSE
385,The Count of Monte Cristo,Alexandre Dumas,1955-09-18,508,FALSE
386,A Tale of Two Cities,Charles Dickens,2001-05-21,1596,FALSE
387,War and Peace,Leo Tolstoy,2018-01-16,1207,TRUE
388,The Count of Monte Cristo,Alexandre Dumas,1859-06-21,801,TRUE
389,Don Quixote,Miguel de Cervantes,1901-02-03,795,TRUE
390,Pride and Prejudice,Jane Austen,1910-07-10,1349,TRUE
391,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1857-12-25,1786,FALSE
392,Great Expectations,Charles Dickens,1912-04-02,339,FALSE
393,The Odyssey,Homer,1857-03-11,1676,TRUE
394,Dracula,Bram Stoker,1931-10-22,883,FALSE
395,Sense and Sensibility,Jane Austen,1901-05-27,1471,FALSE
396,The Picture of Dorian Gray,Oscar Wilde,1875-12-31,919,TRUE
397,The Count of Monte Cristo,Alexandre Dumas,1938-01-31,1151,TRUE
398,The Iliad,Homer,1999-09-29,665,TRUE
399,Jane Eyre,Charlotte Brontë,1998-08-23,814,TRUE
400,Great Expectations,Charles Dickens,2003-01-11,526,TRUE
401,War and Peace,Leo Tolstoy,1912-06-26,566,FALSE
402,Wuthering Heights,Emily Brontë,1865-08-23,925,TRUE
403,Les Misérables,Victor Hugo,1984-08-21,405,TRUE
404,Jane Eyre,Charlotte Brontë,1869-04-30,1979,FALSE
405,Dracula,Bram Stoker,2008-09-15,1344,TRUE
406,The Odyssey,Homer,1977-01-21,540,TRUE
407,The Odyssey,Homer,1956-01-01,1835,TRUE
408,Don Quixote,Miguel de Cervantes,1879-06-03,1328,TRUE
409,Pride and Prejudice,Jane Austen,1977-12-21,1921,FALSE
410,The Adventures of Sherlock Holmes,Arthur Conan Doyle,2011-07-22,496,FALSE
